time,mean_TRMM_3B42
2015-08-07,34.5271034
2015-08-08,27.6572037
2015-08-09,17.1627026
2015-08-10,1.89449453
2015-08-11,3.7936275
2015-08-12,2.48546124
2015-08-13,3.42098618
2015-08-14,27.0273762
2015-08-15,12.092308
2015-08-16,12.1297178
2015-08-17,7.66906738
2015-08-18,1.84032869
2015-08-19,9.18697453
2015-08-20,40.847168
2015-08-21,28.665184
2015-08-22,1.07946002
2015-08-23,22.9008083
2015-08-24,19.1425343
2015-08-25,22.569952
2015-08-26,12.6791306
2015-08-27,11.418788
2015-08-28,18.2250652
2015-08-29,13.0381393
2015-08-30,7.99338245
2015-08-31,15.4210482
2015-09-01,11.0816908
2015-09-02,18.0013695
2015-09-03,42.92202
2015-09-04,2.50183654
2015-09-05,11.2598639
2015-09-06,28.6917229
2015-09-07,3.05072856
2015-09-08,10.11903
2015-09-09,18.5992088
2015-09-10,33.1606674
2015-09-11,3.63484359
2015-09-12,0
2015-09-13,1.98260844
2015-09-14,0.0941476375
2015-09-15,0.913318455
2015-09-16,23.7551632
2015-09-17,20.9047794
2015-09-18,38.2632446
2015-09-19,12.1414518
2015-09-20,9.37659645
2015-09-21,18.7972832
2015-09-22,11.9916897
2015-09-23,8.55117702
2015-09-24,20.2113571
2015-09-25,12.691226
2015-09-26,10.6252146
2015-09-27,5.76784658
2015-09-28,2.76575708
2015-09-29,13.3954058
2015-09-30,16.7565441
2015-10-01,11.8993454
2015-10-02,1.33289135
2015-10-03,3.38440609
2015-10-04,16.989275
2015-10-05,9.31719112
2015-10-06,19.9087658
2015-10-07,19.22332
2015-10-08,20.0685978
2015-10-09,27.3257351
2015-10-10,8.22849274
2015-10-11,18.5144272
2015-10-12,2.18633175
2015-10-13,23.3740501
2015-10-14,23.4706955
2015-10-15,13.8289366
2015-10-16,13.7744312
2015-10-17,3.2366159
2015-10-18,8.02313423
2015-10-19,1.16330922
2015-10-20,28.532938
2015-10-21,4.21340084
2015-10-22,9.77133369
2015-10-23,28.2140541
